float_id,latitude,longitude,depth_m,temperature_c,salinity_psu,timestamp
Argo_5906001,12.5,75.2,10.0,28.5,35.1,2026-09-08 12:00:00
Argo_5906001,12.5,75.2,100.0,22.1,35.4,2026-09-08 12:00:00
Argo_5906001,12.5,75.2,500.0,11.3,34.9,2026-09-08 12:00:00
Argo_5906001,12.5,75.2,1000.0,6.2,34.8,2026-09-08 12:00:00
Argo_5906002,15.8,82.4,10.0,29.1,34.2,2026-09-08 12:00:00
Argo_5906002,15.8,82.4,100.0,23.4,34.8,2026-09-08 12:00:00
Argo_5906002,15.8,82.4,500.0,12.0,35.0,2026-09-08 12:00:00
Argo_5906002,15.8,82.4,1000.0,5.8,34.7,2026-09-08 12:00:00
Argo_5906003,8.4,73.1,10.0,28.8,35.5,2026-09-08 12:00:00
Argo_5906003,8.4,73.1,100.0,21.8,35.6,2026-09-08 12:00:00
Argo_5906003,8.4,73.1,500.0,10.5,35.1,2026-09-08 12:00:00
Argo_5906003,8.4,73.1,1000.0,5.2,34.6,2026-09-08 12:00:00
